################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.9912431255090404E-01   6.7134881435513827E-01   3.7695874644391930E-01   3.9795548830436317E-02
         1          2   7.2925776151117269E-03   4.0341231237714392E-01   7.5773662975435960E-02   3.4230977621833136E-02
         1          3   5.6248979045895459E-02   4.9982422542371446E-01   3.0651085059284150E-01   5.0487711682062890E-02
         1          4   1.5038174083684624E-01   5.2400982616289360E-01   2.9812441820970059E-01   5.3295993779946461E-02
         1          5   3.8538792427924575E-04   1.7671984196832977E-01   1.3096691090717498E-02   1.2296810288077657E-02
         1          6   1.8494931169995371E-02   1.6056301413116475E-01   8.8705925068619837E-02   1.7613489229265273E-02
         1          7   3.8040899435423207E-02   7.4182208660301407E-01   2.9896628749867438E-01   8.5829420203324736E-02
         1          8   1.8510932471320762E-01   7.6761929867341194E-01   3.3308325036153624E-01   5.8192796750606533E-02
         1          9   3.1065317991861574E-07   6.0651265268118371E-02   6.6722169663867119E-04   2.0387701248365704E-03
         1         10   3.5792207162483793E-03   9.7931171138647036E-02   4.0100248422988621E-02   1.1986723909887106E-02
         1         11   1.0484208886197468E-02   2.1394749158727022E-01   1.1751672377150578E-01   2.0083930883707857E-02
         1         12   2.9524248050262460E-02   1.9040381208336396E-01   1.1562981476502876E-01   2.2512646436013323E-02
         1         13   8.0201251993432598E-01   2.3341004532039182E+00   1.7341271023988509E+00   1.2410767419029592E-01
         1         14   3.1115618884265167E-01   1.4343609378052471E+00   1.1449000556158822E+00   8.1217063080494839E-02
         1         15   5.1681479351649816E-02   2.7787207526130803E-01   1.5783343449817819E-01   2.2716563492215226E-02
         1         16   8.2088724001601068E-02   5.0472596934627501E-01   3.7460178843938025E-01   3.4198960514002029E-02
         1         17   9.4495863222789939E-02   5.1591897951009025E-01   3.8116048867348595E-01   4.6968315347317810E-02
         1         18   1.2865626642214711E-01   1.0023749124111594E+00   6.9586827642105220E-01   8.4080555640070595E-02
         1         19   1.6874114139952320E-01   1.0435786942921956E+00   7.6790948134303705E-01   8.8388524920399433E-02
         1         20   5.0356269181916482E-03   1.1263468631645517E-01   4.8645458019716613E-02   1.3678531203529902E-02
         1         21   6.6345632314160990E-02   1.3709115581263551E+00   8.3022795753606182E-01   1.2421332406744585E-01
         1         22   1.6873365391252926E+00   4.8701952559578237E+00   4.1470749333580788E+00   2.2203064503641007E-01
         1         23   2.1211619870517773E-01   1.1149876561184078E+00   9.0091228346758534E-01   6.0018609781596781E-02
         1         24   3.1715778945825945E-01   1.1341600102790874E+00   8.7622907944076101E-01   6.4154529227015311E-02
         1         25   4.1059973727454890E-01   2.1693073231534714E+00   1.7042291949682860E+00   1.1874209735662156E-01
         1         26   6.6399821368912060E-01   2.1111183883454103E+00   1.6435312200335397E+00   1.3448748136592265E-01
         1         27   4.5506117984770589E-01   2.6783129761327995E+00   2.0146328243372822E+00   1.6974081668002150E-01
