################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.0913547609604296E-02 a         1     0     1     1     1
 -7.8264648690343538E-02 a         2     0     1     1     2
 -9.3965114475323297E-02 a         3     0     1     1     3
  3.2024181861806567E-01 a         4     0     1     1     4
  9.7916191220859712E-03 a         5     0     1     1     5
  1.1304558046317978E-01 a         6     0     1     1     6
 -4.3331099643640847E-02 a         7     0     1     1     7
  1.3435857070560378E-01 a         8     0     1     1     8
  4.2472674770894355E-03 a         9     0     1     1     9
 -9.5549780790121289E-02 a        10     0     1     1    10
  8.7359134734068353E-02 a        11     0     1     1    11
 -1.6543772683538160E-01 a        12     0     1     1    12
 -6.5363771416715108E-02 a        13     0     1     1    13
 -1.8775586017473415E-02 a        14     0     1     1    14
  6.7754107851425355E-02 a        15     0     1     1    15
 -2.8186542649821948E-02 a        16     0     1     1    16
 -8.6162915281464428E-02 a        17     0     1     1    17
  3.5213459882442844E-02 a        18     0     1     1    18
 -8.5762868193002689E-02 a        19     0     1     1    19
 -1.6458770399017816E-01 a        20     0     1     1    20
 -6.1609110867489034E-02 a        21     0     1     1    21
 -1.4986784048903920E-01 a        22     0     1     1    22
 -1.3318625818149332E-02 a        23     0     1     1    23
  1.7369493410843925E-01 a        24     0     1     1    24
  5.9937658803272668E-02 a        25     0     2     1     1
  2.5795963321749330E-02 a        26     0     2     1     2
 -1.4585673228067889E-01 a        27     0     2     1     3
  1.4478605334071403E-02 a        28     0     2     1     4
 -1.0706371779653244E-01 a        29     0     2     1     5
 -1.7442570213333503E-01 a        30     0     2     1     6
 -1.6553825148154300E-03 a        31     0     2     1     7
  1.1655443854340658E-01 a        32     0     2     1     8
 -9.8427173480725119E-02 a        33     0     2     1     9
 -3.8353252271171012E-01 a        34     0     2     1    10
 -2.3359424268745432E-02 a        35     0     2     1    11
 -1.8485610104387509E-02 a        36     0     2     1    12
 -1.6304584495597386E-02 a        37     0     2     1    13
 -1.1891787878435209E-01 a        38     0     2     1    14
 -7.0840095173381199E-03 a        39     0     2     1    15
 -1.3402300740861300E-01 a        40     0     2     1    16
  1.5623306300109871E-01 a        41     0     2     1    17
  7.0735662701974485E-03 a        42     0     2     1    18
