################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.7847941590830588E-01   8.3917062717325441E-01   4.7441573093842188E-01   4.1730919112013029E-02
         1          2   1.3531134364769221E-01   5.1665128034585883E-01   2.8032624720804256E-01   2.5713638418897553E-02
         1          3   1.2722929839604191E-01   5.0164976672684425E-01   3.0566412530724929E-01   4.7015961442653777E-02
         1          4   1.5744461088848158E-01   5.2791310708061889E-01   2.9150803159764516E-01   4.6845968223209224E-02
         1          5   3.8538792427924575E-04   1.8538840361059372E-01   9.1541863097164625E-03   6.7704074912660140E-03
         1          6   4.8174669460895540E-02   7.4438562824780430E-01   2.8234892058490174E-01   7.4037916025282938E-02
         1          7   1.8510932471320762E-01   7.6761929867341194E-01   3.1682614242832974E-01   4.2364279463992897E-02
         1          8   3.1065317991861574E-07   6.0651265268118371E-02   2.4363826159182799E-04   7.2352874771011103E-04
         1          9   3.5792207162483793E-03   1.1059495658547763E-01   4.0325000200767229E-02   1.1544097018562328E-02
         1         10   3.5294080199496543E-02   2.1493522783074939E-01   1.2120966716981993E-01   1.8142389051989890E-02
         1         11   3.5434289419291908E-02   2.0454119282971417E-01   1.1926307773915627E-01   2.0898457594970134E-02
         1         12   1.2837638693601385E+00   2.3341004532039182E+00   1.7190379834040901E+00   9.6788185798895726E-02
         1         13   7.9653413553773766E-01   1.4245549957722199E+00   1.0734159127308027E+00   6.8061197011987776E-02
         1         14   8.5124323548500469E-01   1.8481580738955790E+00   1.3927567449517064E+00   1.0799115981670261E-01
         1         15   2.5242632469775944E-01   5.1435355837854435E-01   3.6901382255320830E-01   3.2167927130753143E-02
         1         16   1.8523747939994958E-01   5.1962032219538334E-01   3.7536899862043260E-01   4.6402124769621987E-02
         1         17   1.9662597148849693E-02   1.8750247979270446E-01   9.4317195056966660E-02   1.7865087783333258E-02
         1         18   3.8124691642523389E-01   1.0371716349141851E+00   6.8954028058325989E-01   8.4103367196854975E-02
         1         19   3.6990923080380256E-01   1.0919996917340220E+00   7.6357350107276056E-01   8.4191018034870641E-02
         1         20   5.0356269181916482E-03   1.2644392901904958E-01   4.8895148930241189E-02   1.3160474324039304E-02
         1         21   3.4204680687616840E-01   1.3909978057340708E+00   8.4422814688907566E-01   1.1074640438116469E-01
         1         22   3.9844325831684085E-01   1.5170577854059000E+00   9.8427814658525581E-01   9.3731936924912024E-02
