################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0397393059495353E-01 a         1     0     1     1     1
 -4.0699575383611630E-02 a         2     0     1     1     2
 -1.1485669541618759E-01 a         3     0     1     1     3
 -6.3196128999455523E-02 a         4     0     1     1     4
 -3.5850942314036577E-01 a         5     0     1     1     5
 -5.1011081279122938E-01 a         6     0     1     1     6
  6.8939228522068008E-01 a         7     0     1     1     7
  2.1472837800569789E-03 a         8     0     1     1     8
 -1.8196800311556194E-01 a         9     0     1     1     9
 -2.0209917250059564E-01 a        10     0     1     1    10
 -1.6014005825913241E-01 a        11     0     1     1    11
  6.7095935337240595E-03 a        12     0     1     1    12
  1.1386944897283031E-01 a        13     0     1     1    13
 -5.9899745564528928E-01 a        14     0     1     1    14
 -1.1879953179046863E+00 a        15     0     1     1    15
 -5.6545117548273827E-01 a        16     0     1     1    16
 -4.7899040110891772E-01 a        17     0     1     1    17
  2.3688455526796967E-01 a        18     0     1     1    18
 -4.5785777312800985E-01 a        19     0     1     1    19
 -4.5252927830605921E-01 a        20     0     1     1    20
 -2.5125104074682207E-02 a        21     0     1     1    21
  1.0680485943456154E-01 a        22     0     1     1    22
 -4.1530425154943318E-01 a        23     0     1     1    23
  3.2411654320487837E-01 a        24     0     1     1    24
 -1.6957743665720915E+00 a        25     0     2     1     1
  2.8011680861775558E-02 a        26     0     2     1     2
 -4.8670994833912856E-01 a        27     0     2     1     3
  9.8970967998997161E-01 a        28     0     2     1     4
 -1.1321176403390465E+00 a        29     0     2     1     5
 -3.9575286144630317E-01 a        30     0     2     1     6
  1.0593592893960586E+00 a        31     0     2     1     7
 -1.3694917617787967E+00 a        32     0     2     1     8
 -7.1260457693004708E-01 a        33     0     2     1     9
 -8.2166419217635478E-01 a        34     0     2     1    10
  1.0833547744978829E+00 a        35     0     2     1    11
  1.3102762011756117E-01 a        36     0     2     1    12
  3.0592519289148790E-01 a        37     0     2     1    13
 -4.6906469684335100E-01 a        38     0     2     1    14
  2.8976577750782373E-01 a        39     0     2     1    15
 -1.2753386991035909E+00 a        40     0     2     1    16
  1.5713902168541543E+00 a        41     0     2     1    17
 -1.9325679235352083E-01 a        42     0     2     1    18
 -7.9373889253506080E-01 a        43     0     2     1    19
 -2.7395696287360599E-01 a        44     0     2     1    20
 -2.6264831407610792E-03 a        45     0     2     1    21
 -1.7006717099099103E-01 a        46     0     2     1    22
  6.0358808596210634E-01 a        47     0     2     1    23
 -4.1692941721030102E-01 a        48     0     2     1    24
  6.8176294319760933E-01 a        49     0     3     1     1
 -4.8532884489518535E-01 a        50     0     3     1     2
 -2.1554030657936321E-01 a        51     0     3     1     3
  1.3583061784297731E-01 a        52     0     3     1     4
 -2.0477917584587907E-01 a        53     0     3     1     5
 -1.9907067489760086E-01 a        54     0     3     1     6
  9.8894096724300207E-01 a        55     0     3     1     7
  3.1629974514673409E-01 a        56     0     3     1     8
 -4.0855121634558483E-01 a        57     0     3     1     9
 -3.5834991308260961E-01 a        58     0     3     1    10
  8.2510153437428546E-01 a        59     0     3     1    11
  9.9141921269843333E-03 a        60     0     3     1    12
  7.0969194562587934E-01 a        61     0     3     1    13
 -1.9029964600180940E-01 a        62     0     3     1    14
 -1.4745294650396474E+00 a        63     0     3     1    15
 -3.4094661876787297E-01 a        64     0     3     1    16
  4.3670330601661556E-01 a        65     0     3     1    17
  1.0357568640592534E+00 a        66     0     3     1    18
 -2.2038905440131767E-01 a        67     0     3     1    19
 -6.2275590289623417E-01 a        68     0     3     1    20
  3.0834246015572336E-01 a        69     0     3     1    21
  2.2117965437928663E-01 a        70     0     3     1    22
 -1.4248040571051970E-01 a        71     0     3     1    23
 -3.5516173727802564E-01 a        72     0     3     1    24
  2.1201368593593684E-01 a        73     0     4     1     1
  3.5109987901639386E-03 a        74     0     4     1     2
 -6.0109124901358135E-01 a        75     0     4     1     3
 -6.2753750644857476E-01 a        76     0     4     1     4
  9.1747128349252513E-02 a        77     0     4     1     5
  5.0278248216725807E-01 a        78     0     4     1     6
 -3.9501862230905738E-01 a        79     0     4     1     7
  2.7243880701325374E-01 a        80     0     4     1     8
 -1.6271737266547279E-01 a        81     0     4     1     9
  4.6629327441501250E-01 a        82     0     4     1    10
  8.4817083234758028E-01 a        83     0     4     1    11
  3.0260213753223700E-02 a        84     0     4     1    12
  2.4801113693935828E-01 a        85     0     4     1    13
  2.2020846295252031E-01 a        86     0     4     1    14
  1.7227507441645321E-01 a        87     0     4     1    15
  5.3974855621141460E-01 a        88     0     4     1    16
 -2.4057225231697016E-01 a        89     0     4     1    17
  4.9036530160647747E-02 a        90     0     4     1    18
 -2.6459574073033475E-02 a        91     0     4     1    19
  2.2203761339559949E-01 a        92     0     4     1    20
  3.3445064020551162E-02 a        93     0     4     1    21
  3.9620740657892872E-01 a        94     0     4     1    22
  3.6298346804987974E-01 a        95     0     4     1    23
 -2.0415060797682183E-01 a        96     0     4     1    24
 -6.3173265077803997E-01 a        97     0     5     1     1
  4.0809527937983342E-01 a        98     0     5     1     2
  5.7451355650862443E-02 a        99     0     5     1     3
 -4.2474698816852424E-01 a       100     0     5     1     4
 -2.9045592930235470E-01 a       101     0     5     1     5
 -3.5042847804690364E-01 a       102     0     5     1     6
 -4.0013635130423625E-01 a       103     0     5     1     7
 -1.8800044653872758E-01 a       104     0     5     1     8
  3.5128626975708127E-01 a       105     0     5     1     9
 -2.4516356427750685E-01 a       106     0     5     1    10
 -5.3970843744960151E-01 a       107     0     5     1    11
 -2.1319762460938893E-01 a       108     0     5     1    12
 -7.9513216844771351E-01 a       109     0     5     1    13
  5.1527317428493513E-01 a       110     0     5     1    14
  1.0124055068378675E+00 a       111     0     5     1    15
  1.4304385836991404E-01 a       112     0     5     1    16
